[2026-06-10 15:05:55] 发生碰撞 | 碰撞对象：static.road | 位置：(-95.03, -41.37, -0.07) | 碰撞车速：2.3 km/h
[2026-06-10 15:05:55] 发生碰撞 | 碰撞对象：static.road | 位置：(-95.04, -41.37, -0.07) | 碰撞车速：2.4 km/h
[2026-06-10 15:05:55] 发生碰撞 | 碰撞对象：static.road | 位置：(-95.05, -41.36, -0.07) | 碰撞车速：2.5 km/h
[2026-06-10 15:05:55] 发生碰撞 | 碰撞对象：static.road | 位置：(-95.06, -41.36, -0.07) | 碰撞车速：2.6 km/h
[2026-06-10 15:05:58] 发生碰撞 | 碰撞对象：static.road | 位置：(-92.17, -44.47, -0.06) | 碰撞车速：20.1 km/h
[2026-06-10 15:05:58] 发生碰撞 | 碰撞对象：static.road | 位置：(-89.65, -47.02, -0.06) | 碰撞车速：24.2 km/h
[2026-06-10 15:05:58] 发生碰撞 | 碰撞对象：static.road | 位置：(-89.23, -47.62, -0.07) | 碰撞车速：19.5 km/h
[2026-06-10 15:05:58] 发生碰撞 | 碰撞对象：static.road | 位置：(-89.20, -47.68, -0.08) | 碰撞车速：16.8 km/h
[2026-06-10 15:05:58] 发生碰撞 | 碰撞对象：static.road | 位置：(-89.18, -47.74, -0.08) | 碰撞车速：16.3 km/h
[2026-06-10 15:05:58] 发生碰撞 | 碰撞对象：static.road | 位置：(-89.12, -47.84, -0.08) | 碰撞车速：16.0 km/h
[2026-06-10 15:06:10] 发生碰撞 | 碰撞对象：static.building | 位置：(117.37, -17.46, 0.15) | 碰撞车速：97.7 km/h
[2026-06-10 15:06:22] 发生碰撞 | 碰撞对象：static.vegetation | 位置：(24.22, -53.35, 0.02) | 碰撞车速：86.5 km/h
[2026-06-10 15:18:11] 发生碰撞 | 碰撞对象：static.sidewalk | 位置：(-83.78, -51.58, -0.02) | 碰撞车速：58.9 km/h
[2026-06-10 15:18:16] 发生碰撞 | 碰撞对象：static.pole | 位置：(-124.30, 39.37, 0.18) | 碰撞车速：36.0 km/h
[2026-06-10 15:18:27] 发生碰撞 | 碰撞对象：static.vegetation | 位置：(26.37, 32.56, 0.02) | 碰撞车速：96.7 km/h
[2026-06-10 15:18:52] 发生碰撞 | 碰撞对象：static.static | 位置：(-38.78, 146.97, 0.16) | 碰撞车速：63.9 km/h
